rsn,address,bing_address,neighbourhood,apartment,property_type,year_built,year_registered,units,storeys,property_management_or_landlord,evaluation_completed_on,score,score_percent,score_bucket,score_colour,agi,date_agi_initiated,tdf,tdf_year,reduced_increase_by,eviction_hearing,hearings,geometry,tooltip
4155451,2667 Kipling Ave,2667 Kipling Ave,Mount Olive-Silverstone-Jamestown,TRUE,Private,1978,2017,228,23,1241676 Ontario Inc,2020-10-22,79,79%,61% to 80%,#c994c7,FALSE,NA,FALSE,NA,NA,TRUE,7,"c(-79.583992, 43.748905)",<b>2667 Kipling Ave</b><br><b>Built</b>: 1978<br><b>Landlord/Management</b>: 1241676 Ontario Inc<br><b>Units</b>: 228<br><b>RentSafeTO Evaluation</b>: 79%<br><b>Eviction Hearings</b>: 7<br>
4156229,30 Hillsboro Ave,30 Hillsboro Ave,Annex,TRUE,Private,1965,2017,196,24,Tenen Investments,2019-11-26,84,84%,81% to 100%,#e7e1ef,FALSE,NA,FALSE,NA,NA,TRUE,3,"c(-79.392874, 43.675666)",<b>30 Hillsboro Ave</b><br><b>Built</b>: 1965<br><b>Landlord/Management</b>: Tenen Investments<br><b>Units</b>: 196<br><b>RentSafeTO Evaluation</b>: 84%<br><b>Eviction Hearings</b>: 3<br>
4156252,205 Morningside Ave,205 Morningside Ave,West Hill,TRUE,Private,1961,2017,107,5,Cogir Real Estate,2019-11-28,81,81%,81% to 100%,#e7e1ef,TRUE,"2019-10-11, 2017-07-31",TRUE,2018,0.58%,FALSE,NA,"c(-79.1848262, 43.7654072)","<b>205 Morningside Ave</b><br><b>Built</b>: 1961<br><b>Landlord/Management</b>: Cogir Real Estate<br><b>Units</b>: 107<br><b>RentSafeTO Evaluation</b>: 81%<br><b>AGI Application</b>: 2019-10-11, 2017-07-31<br><b>Tenant Defence Fund Received</b>: 2018<br><b>TDF Reduced Increase By</b>: 0.58%<br>"
4156294,90 Heath St W,90 Heath St W,Yonge-St.Clair,TRUE,Private,1959,2017,37,3,Hollyburn Properties Ltd,2019-12-02,88,88%,81% to 100%,#e7e1ef,TRUE,2017-05-17,FALSE,NA,NA,FALSE,NA,"c(-79.3989633, 43.6898533)",<b>90 Heath St W</b><br><b>Built</b>: 1959<br><b>Landlord/Management</b>: Hollyburn Properties Ltd<br><b>Units</b>: 37<br><b>RentSafeTO Evaluation</b>: 88%<br><b>AGI Application</b>: 2017-05-17<br>
4152817,70 Stevenvale Dr,70 Stevenvale Dr,Woburn,TRUE,Private,1963,2017,100,6,Metcap Living Management Inc,2020-11-19,80,80%,61% to 80%,#c994c7,FALSE,NA,FALSE,NA,NA,FALSE,NA,"c(-79.2213678, 43.7589438)",<b>70 Stevenvale Dr</b><br><b>Built</b>: 1963<br><b>Landlord/Management</b>: Metcap Living Management Inc<br><b>Units</b>: 100<br><b>RentSafeTO Evaluation</b>: 80%<br>
4152822,3895 Lawrence Ave E,3895 Lawrence Ave E,Woburn,TRUE,Private,1975,2017,114,10,Metcap Living Management Inc,2019-11-28,83,83%,81% to 100%,#e7e1ef,FALSE,NA,FALSE,NA,NA,TRUE,1,"c(-79.207777, 43.763143)",<b>3895 Lawrence Ave E</b><br><b>Built</b>: 1975<br><b>Landlord/Management</b>: Metcap Living Management Inc<br><b>Units</b>: 114<br><b>RentSafeTO Evaluation</b>: 83%<br><b>Eviction Hearings</b>: 1<br>
4152835,70 Mornelle Crt,70 Mornelle Crt,Morningside,TRUE,Private,1976,2017,264,16,Mornelle Court Apartments,2021-04-27,78,78%,61% to 80%,#c994c7,FALSE,NA,FALSE,NA,NA,FALSE,NA,"c(-79.1978083, 43.7868651)",<b>70 Mornelle Crt</b><br><b>Built</b>: 1976<br><b>Landlord/Management</b>: Mornelle Court Apartments<br><b>Units</b>: 264<br><b>RentSafeTO Evaluation</b>: 78%<br>
4152845,4010 Lawrence Ave E,4010 Lawrence Ave E,West Hill,TRUE,Private,1967,2017,220,14,Capreit,2019-11-28,83,83%,81% to 100%,#e7e1ef,TRUE,2017-05-29,FALSE,NA,NA,TRUE,6,"c(-79.199192, 43.7667263)",<b>4010 Lawrence Ave E</b><br><b>Built</b>: 1967<br><b>Landlord/Management</b>: Capreit<br><b>Units</b>: 220<br><b>RentSafeTO Evaluation</b>: 83%<br><b>Eviction Hearings</b>: 6<br><b>AGI Application</b>: 2017-05-29<br>
4154439,2988 Keele St,2988 Keele St,Downsview-Roding-CFB,TRUE,Private,1954,NA,11,3,NA,2020-11-12,67,67%,61% to 80%,#c994c7,FALSE,NA,FALSE,NA,NA,FALSE,NA,"c(-79.4848892, 43.7362155)",<b>2988 Keele St</b><br><b>Built</b>: 1954<br><b>Units</b>: 11<br><b>RentSafeTO Evaluation</b>: 67%<br>
4154441,2954 Keele St,2954 Keele St,Downsview-Roding-CFB,TRUE,Private,1954,2017,12,3,N/A,2019-11-08,74,74%,61% to 80%,#c994c7,FALSE,NA,FALSE,NA,NA,FALSE,NA,"c(-79.4845615, 43.7353489)",<b>2954 Keele St</b><br><b>Built</b>: 1954<br><b>Landlord/Management</b>: N/A<br><b>Units</b>: 12<br><b>RentSafeTO Evaluation</b>: 74%<br>
4154444,3250 Keele St,3250 Keele St,Downsview-Roding-CFB,TRUE,Private,1963,2017,59,4,3250 Keele Apartments Inc,2019-11-07,75,75%,61% to 80%,#c994c7,FALSE,NA,FALSE,NA,NA,TRUE,1,"c(-79.4861314, 43.7419203)",<b>3250 Keele St</b><br><b>Built</b>: 1963<br><b>Landlord/Management</b>: 3250 Keele Apartments Inc<br><b>Units</b>: 59<br><b>RentSafeTO Evaluation</b>: 75%<br><b>Eviction Hearings</b>: 1<br>
4154449,24 Seeley Dr,24 Seeley Dr,Downsview-Roding-CFB,TRUE,Private,1959,2017,100,4,Briarlane,2019-11-18,72,72%,61% to 80%,#c994c7,FALSE,NA,FALSE,NA,NA,TRUE,2,"c(-79.4927544, 43.7406656)",<b>24 Seeley Dr</b><br><b>Built</b>: 1959<br><b>Landlord/Management</b>: Briarlane<br><b>Units</b>: 100<br><b>RentSafeTO Evaluation</b>: 72%<br><b>Eviction Hearings</b>: 2<br>
4154452,111 Whitburn Cres,111 Whitburn Crescent,Downsview-Roding-CFB,TRUE,Private,1977,2017,46,3,Davpart Inc,2020-10-14,87,87%,81% to 100%,#e7e1ef,FALSE,NA,FALSE,NA,NA,TRUE,5,"c(-79.4915398, 43.7385176)",<b>111 Whitburn Cres</b><br><b>Built</b>: 1977<br><b>Landlord/Management</b>: Davpart Inc<br><b>Units</b>: 46<br><b>RentSafeTO Evaluation</b>: 87%<br><b>Eviction Hearings</b>: 5<br>
4154456,3390 Keele St,3390 Keele St,York University Heights,TRUE,Private,1965,2017,258,11,Q Reit,2020-10-29,76,76%,61% to 80%,#c994c7,TRUE,2019-10-17,FALSE,NA,NA,TRUE,1,"c(-79.4884716, 43.7469518)",<b>3390 Keele St</b><br><b>Built</b>: 1965<br><b>Landlord/Management</b>: Q Reit<br><b>Units</b>: 258<br><b>RentSafeTO Evaluation</b>: 76%<br><b>Eviction Hearings</b>: 1<br><b>AGI Application</b>: 2019-10-17<br>
4154461,3444 Keele St,3444 Keele St,York University Heights,TRUE,Private,1967,2017,61,9,Downsview Park Apartments,2019-11-07,76,76%,61% to 80%,#c994c7,TRUE,2019-04-09,FALSE,NA,NA,FALSE,NA,"c(-79.4882262, 43.750216)",<b>3444 Keele St</b><br><b>Built</b>: 1967<br><b>Landlord/Management</b>: Downsview Park Apartments<br><b>Units</b>: 61<br><b>RentSafeTO Evaluation</b>: 76%<br><b>AGI Application</b>: 2019-04-09<br>
4154464,3700 Keele St,3700 Keele St,York University Heights,TRUE,Private,1962,2017,57,3,Dms Property Management Ltd,2020-10-28,73,73%,61% to 80%,#c994c7,FALSE,NA,FALSE,NA,NA,FALSE,NA,"c(-79.4893783, 43.7552435)",<b>3700 Keele St</b><br><b>Built</b>: 1962<br><b>Landlord/Management</b>: Dms Property Management Ltd<br><b>Units</b>: 57<br><b>RentSafeTO Evaluation</b>: 73%<br>
4154970,130 Vaughan Rd,130 Vaughan Rd,Humewood-Cedarvale,TRUE,TCHC,1977,2017,99,9,NA,2021-04-20,85,85%,81% to 100%,#e7e1ef,FALSE,NA,FALSE,NA,NA,FALSE,NA,"c(-79.4220015, 43.6847732)",<b>130 Vaughan Rd</b><br><b>Built</b>: 1977<br><b>Units</b>: 99<br><b>RentSafeTO Evaluation</b>: 85%<br>
4154972,210 Wychwood Ave,210 Wychwood Ave,Humewood-Cedarvale,TRUE,Private,1930,2017,40,4,Cogir Management Corporation,2019-11-28,83,83%,81% to 100%,#e7e1ef,TRUE,"2020-02-03, 2018-05-30",FALSE,NA,NA,TRUE,1,"c(-79.4244102, 43.6844316)","<b>210 Wychwood Ave</b><br><b>Built</b>: 1930<br><b>Landlord/Management</b>: Cogir Management Corporation<br><b>Units</b>: 40<br><b>RentSafeTO Evaluation</b>: 83%<br><b>Eviction Hearings</b>: 1<br><b>AGI Application</b>: 2020-02-03, 2018-05-30<br>"
4155457,10 Garfella Dr,10 Garfella Dr,Mount Olive-Silverstone-Jamestown,TRUE,Private,1969,2017,143,7,Cogir Real Estate,2020-10-22,68,68%,61% to 80%,#c994c7,TRUE,"2020-11-26, 2019-06-10",FALSE,NA,NA,TRUE,4,"c(-79.593093, 43.745323)","<b>10 Garfella Dr</b><br><b>Built</b>: 1969<br><b>Landlord/Management</b>: Cogir Real Estate<br><b>Units</b>: 143<br><b>RentSafeTO Evaluation</b>: 68%<br><b>Eviction Hearings</b>: 4<br><b>AGI Application</b>: 2020-11-26, 2019-06-10<br>"
4155464,88 Humber College Blvd,88 Humber College Blvd,West Humber-Clairville,TRUE,Social Housing,1989,2017,119,4,NA,2019-10-28,72,72%,61% to 80%,#c994c7,FALSE,NA,FALSE,NA,NA,FALSE,NA,"c(-79.5986538, 43.7317374)",<b>88 Humber College Blvd</b><br><b>Built</b>: 1989<br><b>Units</b>: 119<br><b>RentSafeTO Evaluation</b>: 72%<br>
4155480,2309 Lake Shore Blvd W,2309 Lake Shore Blvd W,Mimico (includes Humber Bay Shores),TRUE,Private,1954,2017,28,4,Aiderbook Management Inc.,2020-11-09,69,69%,61% to 80%,#c994c7,FALSE,NA,FALSE,NA,NA,FALSE,NA,"c(-79.4864917, 43.6177182)",<b>2309 Lake Shore Blvd W</b><br><b>Built</b>: 1954<br><b>Landlord/Management</b>: Aiderbook Management Inc.<br><b>Units</b>: 28<br><b>RentSafeTO Evaluation</b>: 69%<br>
4155482,51 Stanley Ave,51 Stanley Ave,Mimico (includes Humber Bay Shores),TRUE,Private,1951,2017,12,3,571051 Ontario Limited,2020-11-25,73,73%,61% to 80%,#c994c7,FALSE,NA,FALSE,NA,NA,FALSE,NA,"c(-79.4896735, 43.6160417)",<b>51 Stanley Ave</b><br><b>Built</b>: 1951<br><b>Landlord/Management</b>: 571051 Ontario Limited<br><b>Units</b>: 12<br><b>RentSafeTO Evaluation</b>: 73%<br>
4153606,10 Hogarth Ave,10 Hogarth Ave,North Riverdale,TRUE,Private,1968,2017,287,23,M&R Property Management,2020-11-16,87,87%,81% to 100%,#e7e1ef,TRUE,"2020-09-28, 2018-08-16, 2017-03-10",TRUE,2017,0.55%,FALSE,NA,"c(-79.3554501, 43.6739646)","<b>10 Hogarth Ave</b><br><b>Built</b>: 1968<br><b>Landlord/Management</b>: M&R Property Management<br><b>Units</b>: 287<br><b>RentSafeTO Evaluation</b>: 87%<br><b>AGI Application</b>: 2020-09-28, 2018-08-16, 2017-03-10<br><b>Tenant Defence Fund Received</b>: 2017<br><b>TDF Reduced Increase By</b>: 0.55%<br>"
4153618,852 Broadview Ave,852 Broadview Ave,Playter Estates-Danforth,TRUE,Private,1960,2018,21,4,NA,2020-11-16,70,70%,61% to 80%,#c994c7,FALSE,NA,FALSE,NA,NA,FALSE,NA,"c(-79.3585319, 43.6791157)",<b>852 Broadview Ave</b><br><b>Built</b>: 1960<br><b>Units</b>: 21<br><b>RentSafeTO Evaluation</b>: 70%<br>
4153619,846-850 Broadview Ave,846 Broadview Ave,Playter Estates-Danforth,TRUE,Private,1940,2017,24,3,Upper Broadview Suites Ltd,2020-11-16,94,94%,81% to 100%,#e7e1ef,TRUE,2021-04-12,FALSE,NA,NA,FALSE,NA,"c(-79.3585651, 43.6789913)",<b>846-850 Broadview Ave</b><br><b>Built</b>: 1940<br><b>Landlord/Management</b>: Upper Broadview Suites Ltd<br><b>Units</b>: 24<br><b>RentSafeTO Evaluation</b>: 94%<br><b>AGI Application</b>: 2021-04-12<br>
4153623,1187-1189 Queen St E,1187 Queen St E,South Riverdale,TRUE,Social Housing,1988,2017,34,4,Mainstay Housing,2020-12-14,78,78%,61% to 80%,#c994c7,FALSE,NA,FALSE,NA,NA,FALSE,NA,"c(-79.3316341, 43.6627063)",<b>1187-1189 Queen St E</b><br><b>Built</b>: 1988<br><b>Landlord/Management</b>: Mainstay Housing<br><b>Units</b>: 34<br><b>RentSafeTO Evaluation</b>: 78%<br>
4153002,1570 King St W,1570 King St W,South Parkdale,TRUE,Private,1910,NA,18,3,NA,2020-12-11,72,72%,61% to 80%,#c994c7,FALSE,NA,FALSE,NA,NA,FALSE,NA,"c(-79.44417, 43.638144)",<b>1570 King St W</b><br><b>Built</b>: 1910<br><b>Units</b>: 18<br><b>RentSafeTO Evaluation</b>: 72%<br>
4153006,70 Wilson Park Rd,70 Wilson Park Rd,South Parkdale,TRUE,Private,1970,2017,25,3,NA,2020-12-10,75,75%,61% to 80%,#c994c7,FALSE,NA,FALSE,NA,NA,FALSE,NA,"c(-79.442482, 43.638631)",<b>70 Wilson Park Rd</b><br><b>Built</b>: 1970<br><b>Units</b>: 25<br><b>RentSafeTO Evaluation</b>: 75%<br>
4153016,22 Maynard Ave,22 Maynard Ave,South Parkdale,TRUE,Private,1978,2017,36,3,Berislav & Tomislava Ivankovic,2020-11-19,79,79%,61% to 80%,#c994c7,FALSE,NA,FALSE,NA,NA,TRUE,1,"c(-79.4379479, 43.6377828)",<b>22 Maynard Ave</b><br><b>Built</b>: 1978<br><b>Landlord/Management</b>: Berislav & Tomislava Ivankovic<br><b>Units</b>: 36<br><b>RentSafeTO Evaluation</b>: 79%<br><b>Eviction Hearings</b>: 1<br>
4153626,1167 Queen St E,1167 Queen St E,South Riverdale,TRUE,TCHC,1995,2017,40,5,NA,2019-12-04,67,67%,61% to 80%,#c994c7,FALSE,NA,FALSE,NA,NA,FALSE,NA,"c(-79.3328829, 43.6624929)",<b>1167 Queen St E</b><br><b>Built</b>: 1995<br><b>Units</b>: 40<br><b>RentSafeTO Evaluation</b>: 67%<br>
4153645,1320 Gerrard St E,1320 Gerrard St E,Greenwood-Coxwell,TRUE,Social Housing,1994,2017,45,5,NA,2019-01-22,93,93%,81% to 100%,#e7e1ef,FALSE,NA,FALSE,NA,NA,FALSE,NA,"c(-79.3263203, 43.6715923)",<b>1320 Gerrard St E</b><br><b>Built</b>: 1994<br><b>Units</b>: 45<br><b>RentSafeTO Evaluation</b>: 93%<br>
4153646,369 Pape Ave,369 Pape Ave,Blake-Jones,TRUE,TCHC,1981,2017,139,8,NA,2021-04-29,81,81%,81% to 100%,#e7e1ef,FALSE,NA,FALSE,NA,NA,FALSE,NA,"c(-79.3407098, 43.6698138)",<b>369 Pape Ave</b><br><b>Built</b>: 1981<br><b>Units</b>: 139<br><b>RentSafeTO Evaluation</b>: 81%<br>
4153652,796 Carlaw Ave,796 Carlaw Ave,Playter Estates-Danforth,TRUE,Private,1922,2018,31,4,NA,2021-04-29,58,58%,60% and under,#dd1c77,FALSE,NA,FALSE,NA,NA,FALSE,NA,"c(-79.3478197, 43.6788565)",<b>796 Carlaw Ave</b><br><b>Built</b>: 1922<br><b>Units</b>: 31<br><b>RentSafeTO Evaluation</b>: 58%<br>
4153047,109 Indian Rd,109 Indian Rd,High Park-Swansea,TRUE,Private,1970,2017,38,8,NA,2020-10-27,79,79%,61% to 80%,#c994c7,FALSE,NA,FALSE,NA,NA,FALSE,NA,"c(-79.4525117, 43.6433308)",<b>109 Indian Rd</b><br><b>Built</b>: 1970<br><b>Units</b>: 38<br><b>RentSafeTO Evaluation</b>: 79%<br>
4153057,1639 Bloor St W,1639 Bloor St W,High Park-Swansea,TRUE,Private,1960,2017,46,6,Greenwin Inc.,2020-10-30,77,77%,61% to 80%,#c994c7,FALSE,NA,FALSE,NA,NA,FALSE,NA,"c(-79.4556291, 43.6554137)",<b>1639 Bloor St W</b><br><b>Built</b>: 1960<br><b>Landlord/Management</b>: Greenwin Inc.<br><b>Units</b>: 46<br><b>RentSafeTO Evaluation</b>: 77%<br>
4153666,2373 Queen St E,2373 Queen St E,The Beaches,TRUE,Private,1930,2017,27,3,NA,2020-11-20,70,70%,61% to 80%,#c994c7,FALSE,NA,FALSE,NA,NA,FALSE,NA,"c(-79.287892, 43.67248)",<b>2373 Queen St E</b><br><b>Built</b>: 1930<br><b>Units</b>: 27<br><b>RentSafeTO Evaluation</b>: 70%<br>
4153677,158 Kingston Rd,158 Kingston Rd,Woodbine Corridor,TRUE,Private,1960,2017,44,4,NA,2019-12-05,74,74%,61% to 80%,#c994c7,FALSE,NA,FALSE,NA,NA,FALSE,NA,"c(-79.3112229, 43.6712641)",<b>158 Kingston Rd</b><br><b>Built</b>: 1960<br><b>Units</b>: 44<br><b>RentSafeTO Evaluation</b>: 74%<br>
4153112,923 St Clair Ave W,923 St Clair Ave W,Wychwood,TRUE,Private,1930,2017,24,4,NA,2021-05-05,78,78%,61% to 80%,#c994c7,FALSE,NA,FALSE,NA,NA,FALSE,NA,"c(-79.434483, 43.679533)",<b>923 St Clair Ave W</b><br><b>Built</b>: 1930<br><b>Units</b>: 24<br><b>RentSafeTO Evaluation</b>: 78%<br>
4153114,917 St Clair Ave W,917 St Clair Ave W,Wychwood,TRUE,Private,1957,2017,16,3,Star Property Management Ltd.,2021-05-05,71,71%,61% to 80%,#c994c7,FALSE,NA,FALSE,NA,NA,FALSE,NA,"c(-79.4341341, 43.6796544)",<b>917 St Clair Ave W</b><br><b>Built</b>: 1957<br><b>Landlord/Management</b>: Star Property Management Ltd.<br><b>Units</b>: 16<br><b>RentSafeTO Evaluation</b>: 71%<br>
4153687,2150 Queen St E,2150 Queen St E,The Beaches,TRUE,Private,1923,2017,16,4,NA,2020-11-26,76,76%,61% to 80%,#c994c7,FALSE,NA,FALSE,NA,NA,FALSE,NA,"c(-79.2917926, 43.6719788)",<b>2150 Queen St E</b><br><b>Built</b>: 1923<br><b>Units</b>: 16<br><b>RentSafeTO Evaluation</b>: 76%<br>
4153688,59 Balsam Ave,59 Balsam Ave,The Beaches,TRUE,Private,1927,2020,19,3,NA,2020-11-26,71,71%,61% to 80%,#c994c7,FALSE,NA,FALSE,NA,NA,FALSE,NA,"c(-79.2898808, 43.6724748)",<b>59 Balsam Ave</b><br><b>Built</b>: 1927<br><b>Units</b>: 19<br><b>RentSafeTO Evaluation</b>: 71%<br>
4153702,425 Coxwell Ave,425 Coxwell Ave,Woodbine Corridor,TRUE,Social Housing,2002,2017,30,3,NA,2019-12-05,87,87%,81% to 100%,#e7e1ef,FALSE,NA,FALSE,NA,NA,FALSE,NA,"c(-79.320865, 43.6774958)",<b>425 Coxwell Ave</b><br><b>Built</b>: 2002<br><b>Units</b>: 30<br><b>RentSafeTO Evaluation</b>: 87%<br>
4156305,3218 St Clair Ave E,3218 St Clair Ave E,Clairlea-Birchmount,TRUE,Private,1952,2017,16,3,Excel Property Management,2020-11-13,76,76%,61% to 80%,#c994c7,FALSE,NA,FALSE,NA,NA,FALSE,NA,"c(-79.2898366, 43.710319)",<b>3218 St Clair Ave E</b><br><b>Built</b>: 1952<br><b>Landlord/Management</b>: Excel Property Management<br><b>Units</b>: 16<br><b>RentSafeTO Evaluation</b>: 76%<br>
4156339,23 Durnford Rd,23 Durnford Rd,Rouge,TRUE,Social Housing,1992,2018,14,3,NA,2021-04-13,80,80%,61% to 80%,#c994c7,FALSE,NA,FALSE,NA,NA,FALSE,NA,"c(-79.1501145, 43.7994444)",<b>23 Durnford Rd</b><br><b>Built</b>: 1992<br><b>Units</b>: 14<br><b>RentSafeTO Evaluation</b>: 80%<br>
