_id,AIR_CONDITIONING_TYPE,AMENITIES_AVAILABLE,ANNUAL_FIRE_ALARM_TEST_RECORDS,ANNUAL_FIRE_PUMP_FLOW_TEST_RECORDS,APPROVED_FIRE_SAFETY_PLAN,BALCONIES,BARRIER_FREE_ACCESSIBILTY_ENTR,BIKE_PARKING,CONFIRMED_STOREYS,CONFIRMED_UNITS,DATE_OF_LAST_INSPECTION_BY_TSSA,DESCRIPTION_OF_CHILD_PLAY_AREA,DESCRIPTION_OF_INDOOR_EXERCISE_ROOM,DESCRIPTION_OF_OUTDOOR_REC_FACILITIES,ELEVATOR_PARTS_REPLACED,ELEVATOR_STATUS,EMERG_POWER_SUPPLY_TEST_RECORDS,EXTERIOR_FIRE_ESCAPE,FACILITIES_AVAILABLE,FIRE_ALARM,GARBAGE_CHUTES,GREEN_BIN_LOCATION,HEATING_EQUIPMENT_STATUS,HEATING_EQUIPMENT_YEAR_INSTALLED,HEATING_TYPE,INDOOR_GARBAGE_STORAGE_AREA,INTERCOM,IS_THERE_A_COOLING_ROOM,IS_THERE_EMERGENCY_POWER,LAUNDRY_ROOM,LAUNDRY_ROOM_HOURS_OF_OPERATION,LAUNDRY_ROOM_LOCATION,LOCKER_OR_STORAGE_ROOM,NO_BARRIER_FREE_ACCESSBLE_UNITS,NO_OF_ACCESSIBLE_PARKING_SPACES,NO_OF_ELEVATORS,NO_OF_LAUNDRY_ROOM_MACHINES,NON_SMOKING_BUILDING,OUTDOOR_GARBAGE_STORAGE_AREA,PARKING_TYPE,PCODE,PET_RESTRICTIONS,PETS_ALLOWED,PROP_MANAGEMENT_COMPANY_NAME,PROPERTY_TYPE,RECYCLING_BINS_LOCATION,RSN,SEPARATE_GAS_METERS_EACH_UNIT,SEPARATE_HYDRO_METER_EACH_UNIT,SEPARATE_WATER_METERS_EA_UNIT,SITE_ADDRESS,SPRINKLER_SYSTEM,SPRINKLER_SYSTEM_TEST_RECORD,SPRINKLER_SYSTEM_YEAR_INSTALLED,TSSA_TEST_RECORDS,VISITOR_PARKING,WARD,WINDOW_TYPE,YEAR_BUILT,YEAR_OF_REPLACEMENT,YEAR_REGISTERED,NO_OF_STOREYS,IS_THERE_EMERGENCY_POWER?,NON-SMOKING_BUILDING,NO_OF_UNITS,NO_OF_ACCESSIBLEPARKING_SPACES,FACILITIES_AVAILABLE?,IS_THERE_A_COOLING_ROOM?,NO_BARRIERFREE_ACCESSBLE_UNITS
62286,NONE,NA,YES,YES,YES,YES,YES,Not Available,12,95,"DEC 1, 2017",NA,NA,NA,NA,ORIGINAL,NA,NO,Recycling bins,YES,YES,NA,REPLACED,2016,HOT WATER,NO,YES,NO,NO,YES,24,MAIN FLOOR,YES,0,0,2,10,NO,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M6L,NA,NO,GOLDEN EQUITY PROPERTIES,PRIVATE,BACK ,4154338,NO,YES,NO,2500  KEELE ST ,YES,YES,1963,YES,FREE,05,DOUBLE PANE,1977,NA,2018,NA,NA,NA,NA,NA,NA,NA,NA
62287,NONE,Outdoor pool,YES,NO,YES,YES,NO,Not Available,4,77,"SEP 15, 2016",NA,NA,NA,COMPLETE MODERNISATION ,REPLACED,NA,NO,Green Bin / Organics,YES,YES,BACK OF THE BUILDING,REPLACED,2015,HOT WATER,NO,YES,NO,NO,YES,24 HRS,BASEMENT ,YES,0,0,1,8,NO,YES,"Ground Level Garage , Surface Parking",M2K,NA,YES,CAPREIT,PRIVATE,BACK OF THE BUILDING,4154836,NO,YES,NO,11  DERVOCK CRES ,YES,YES,1959,YES,FREE,17,DOUBLE PANE,1959,2012,2017,NA,NA,NA,NA,NA,NA,NA,NA
62288,NONE,"Outdoor pool , Indoor recreation room , Indoor exercise room , Sauna",YES,YES,YES,YES,YES,Not Available,19,128,"JUL 2, 2017",NA,NA,NA,FULL MODERIZATION,REPLACED,YES,NO,Green Bin / Organics,YES,YES,OUTSIDE,REPLACED,2005,HOT WATER,NO,YES,YES,YES,YES,24HRS,BASEMENT OF EACH BUILDING,YES,0,3,2,42,NO,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M2K,N/A,YES,VERTICA RESIDENT SERVICES,PRIVATE,OUTSIDE,4154839,NO,YES,NO,640  SHEPPARD AVE E,YES,YES,1970,YES,FREE,17,DOUBLE PANE,1970,2012,2017,NA,NA,NA,NA,NA,NA,NA,NA
62289,NONE,NA,YES,YES,YES,YES,NO,0 indoor parking spots and 20 outdoor parking spots,16,178,"AUG 1, 2015",NA,NA,NA,COMPLETE MOD,REPLACED,YES,NO,Green Bin / Organics,YES,YES,OUTSIDE OF BUILDING,REPLACED,2007,FORCED AIR GAS,YES,YES,NO,YES,YES,24 HOURS,BASEMENT,YES,0,2,3,16,NO,YES,"Underground Garage , Ground Level Garage , Garage accessible thru buildg , Surface Parking , Parking Deck",M9R,NONE,YES,DIXON HOLDINGS,PRIVATE,OUTSIDE OF BUILDING,4155366,NO,YES,NO,311  DIXON RD ,YES,YES,1968,NO,PAID,02,SINGLE PANE,1968,2007,2017,NA,NA,NA,NA,NA,NA,NA,NA
62290,NONE,"Outdoor pool , Child play area",YES,YES,YES,YES,NO,Not Available,15,171,"JUN 29, 2016","SWINGS, SLIDE, JUNGLE GYM",NA,NA,NA,REPLACED,YES,NO,Green Bin / Organics,YES,YES,OUTSIDE OF BACK ENTRANCE,ORIGINAL,1964,HOT WATER,NO,YES,YES,YES,YES,24 HOURS,BASEMENT OF BUILDING,NO,0,2,2,18,NO,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M9R,NA,YES,NA,PRIVATE,OUTSIDE OF BACK ENTRANCE,4155369,NO,YES,NO,263  DIXON RD ,YES,YES,1964,YES,BOTH,02,DOUBLE PANE,1964,2016,2017,NA,NA,NA,NA,NA,NA,NA,NA
62291,NONE,NA,YES,YES,YES,YES,YES,Not Available,5,48,"MAR 12, 2013",NA,NA,NA,NA,ORIGINAL,NA,NO,Green Bin / Organics,YES,NO,BY GARBAGE BIN,REPLACED,2008,HOT WATER,NO,YES,NO,NO,YES,24 HOUR,1ST FLOOR,YES,1,2,1,6,NO,NO,"Ground Level Garage , Carport , Surface Parking",M9C,NOISE OR COMPLAINTS,YES,NA,PRIVATE,BY GARBAGE BIN,4155381,NO,NO,NO,306  THE WEST MALL  ,YES,YES,1969,NO,FREE,02,DOUBLE PANE,1969,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA
62292,NONE,Outdoor pool,YES,YES,YES,YES,NO,Not Available,5,45,"FEB 21, 2016",NA,NA,NA,NA,ORIGINAL,NA,NO,Green Bin / Organics,YES,NO,REAR OF BUILDING,ORIGINAL,1961,HOT WATER,NO,YES,NO,NO,YES,8AM-10PM,"2ND, 3RD, 4TH, AND 5TH FLOORS",YES,0,0,1,8,NO,YES,"Ground Level Garage , Surface Parking",M9C,NA,YES,IMPERRA GENERAL MANAGMENT,PRIVATE,REAR OF BUILDING,4155383,NO,YES,NO,329  THE WEST MALL  ,YES,YES,1961,YES,FREE,02,DOUBLE PANE,1970,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA
62293,NONE,NA,YES,YES,YES,YES,YES,Not Available,5,49,"OCT 17, 2017",NA,NA,NA,NA,REPLACED,YES,NO,Green Bin / Organics,YES,NO,OUTDOOR GARBAGE ENCLOSURE,REPLACED,2002,HOT WATER,NO,YES,NO,YES,YES,6AM-12AM,THIRD FLOOR,YES,0,62,1,6,YES,YES,"Carport , Surface Parking",M9C,NA,YES,PENWOTH HOLDINGS INC,PRIVATE,OUTDOOR GARBAGE ENCLOSURE,4155385,NO,YES,NO,351  THE WEST MALL  ,YES,YES,1990,YES,FREE,02,DOUBLE PANE,1960,2006,2017,NA,NA,NA,NA,NA,NA,NA,NA
62294,INDIVIDUAL UNITS,NA,YES,NO,YES,YES,NO,Not Available,3,10,NA,NA,NA,NA,NA,NA,NA,YES,Green Bin / Organics,YES,NO,BACK OF BUILDING,REPLACED,2000,HOT WATER,NO,YES,NO,NO,YES,24 HOURS ,LOWER LEVEL ,YES,0,13,0,2,YES,YES,"Ground Level Garage , Surface Parking",M9C,NA,YES,MYROSLAWA LIDIA NAHIRNYJ,PRIVATE,BACK OF BUILDING ,4155391,NO,YES,NO,336  THE WEST MALL  ,YES,NO,1965,NA,FREE,02,DOUBLE PANE,1965,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA
62295,NONE,NA,YES,YES,YES,YES,NO,Not Available,5,26,NA,NA,NA,NA,NA,NA,NA,NO,Green Bin / Organics,YES,NO,OUTDOOR,REPLACED,2011,HOT WATER,NO,YES,NO,NO,YES,8-12,BASEMENT,YES,0,5,0,4,NO,YES,"Ground Level Garage , Carport , Surface Parking",M8Y,NA,YES,MODEL BUILDING MAINTENANCE INC,PRIVATE,OUTDOOR,4156115,NO,YES,NO,11  CROWN HILL PL ,NO,NA,NA,NA,UNAVAILABLE,03,DOUBLE PANE,1953,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA
62296,NONE,NA,YES,YES,YES,YES,NO,Not Available,4,28,"MAY 1, 2014",NA,NA,NA,NA,ORIGINAL,NA,NO,Green Bin / Organics,YES,YES,NA,REPLACED,2010,FORCED AIR GAS,YES,YES,YES,NO,YES,9:00 AM TO 9:00 PM,NA,NO,0,2,0,14,NO,YES,"Ground Level Garage , Surface Parking",M1B,NO EXOTIC PETS,YES,NA,SOCIAL HOUSING,OUTDOOR EITHER END OF COMPLEX,4156137,NO,NO,NO,19  DURNFORD RD ,YES,YES,1992,YES,FREE,25,DOUBLE PANE,1992,NA,2018,NA,NA,NA,NA,NA,NA,NA,NA
65730,NONE,NA,YES,YES,YES,YES,YES,Not Available,4,60,"DEC 2, 2014",NA,NA,NA,MODERNIZED,REPLACED,NA,YES,Recycling bins,YES,NO,NA,REPLACED,2015,HOT WATER,NO,YES,NO,NO,YES,24 HOURS,GROUND,YES,0,0,1,6,NO,YES,"Ground Level Garage , Surface Parking",M5M,NA,YES,COGIR MANAGEMENT CORPORATION,PRIVATE,OUTSIDE,4154682,NO,YES,NO,166  WILSON AVE ,YES,YES,1950,YES,FREE,08,DOUBLE PANE,1950,2012,2017,NA,NA,NA,NA,NA,NA,NA,NA
65731,NONE,NA,YES,YES,YES,YES,YES,Not Available,4,64,"JAN 20, 2015",NA,NA,NA,MODERNIZED,REPLACED,NA,YES,Recycling bins,YES,NO,NA,REPLACED,2015,HOT WATER,NO,YES,NO,NO,YES,24 HOURS,GROUND,YES,0,0,1,6,NO,YES,"Ground Level Garage , Surface Parking",M5M,NA,YES,COGIR MANAGEMENT CORPORATION,PRIVATE,OUTSIDE IN PARKING AREA,4154685,NO,YES,NO,2181  AVENUE RD ,YES,YES,1950,YES,FREE,08,DOUBLE PANE,1950,2012,2017,NA,NA,NA,NA,NA,NA,NA,NA
62297,NONE,NA,YES,YES,YES,YES,YES,Not Available,15,144,"OCT 23, 2016",NA,NA,NA,FULL REPLACEMENT - GAL GALAXY ,REPLACED,YES,NO,Green Bin / Organics,YES,YES,COMPACTOR ROOM,ORIGINAL,1987,HOT WATER,YES,YES,NO,YES,YES,7:00 AM- 10:00 PM ,MAIN FLOOR,YES,3,5,2,16,YES,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M5G,NA,YES,TCH,TCHC,BACK OF BUILDING,4156154,NO,NO,NO,111  CHESTNUT ST ,YES,YES,1987,YES,PAID,10,DOUBLE PANE,1987,2015,2017,NA,NA,NA,NA,NA,NA,NA,NA
62298,NONE,NA,YES,YES,YES,YES,YES,Not Available,14,192,"MAR 15, 2017",NA,NA,NA,NA,REPLACED,NA,YES,Recycling bins,YES,YES,NA,REPLACED,2005,HOT WATER,NO,YES,NO,NO,YES,24 HOURS,GROUND FLOOR,NO,190,15,3,18,NO,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M1K,NA,YES,CANDO APARTMENTS LTD.,PRIVATE,WEST SIDE,4152750,NO,YES,NO,30  GILDER DR ,YES,YES,1954,YES,PAID,21,DOUBLE PANE,1954,2008,2017,NA,NA,NA,NA,NA,NA,NA,NA
62299,NONE,"Indoor recreation room , Outdoor rec facilities",YES,YES,YES,YES,YES,0 indoor parking spots and 10 outdoor parking spots,7,95,"JUN 18, 2015",NA,NA,OUTDOOR GAZIBO,FULL REPLACEMENT,REPLACED,YES,NO,Recycling bins,YES,YES,NA,REPLACED,2007,HOT WATER,NO,YES,YES,YES,YES,24 HOURS,MAIN FLOOR,YES,1,1,2,10,NO,YES,Surface Parking,M1J,NA,YES,H & R PROPERTY MANAGEMENT LTD.,PRIVATE,IN ENCLOSURE,4152756,NO,YES,NO,1284  DANFORTH RD ,YES,YES,1960,YES,FREE,21,DOUBLE PANE,1960,2007,2017,NA,NA,NA,NA,NA,NA,NA,NA
65732,NONE,NA,YES,YES,YES,YES,NO,Not Available,6,65,"JAN 6, 2014",NA,NA,NA,NA,ORIGINAL,YES,YES,Recycling bins,YES,NO,NA,REPLACED,2013,HOT WATER,NO,YES,NO,YES,YES,8:00AM TO 10:00PM,BASEMENT,YES,0,0,1,10,NO,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M9N,NA,YES,COGIR MANAGEMENT CORPORATION,PRIVATE,EXTERIOR BACK OF BUILDING,4155169,NO,YES,NO,2222  WESTON RD ,YES,YES,1961,YES,FREE,05,DOUBLE PANE,1961,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA
65733,NONE,NA,YES,YES,YES,YES,NO,Not Available,6,93,"SEP 18, 2015",NA,NA,NA,NA,ORIGINAL,YES,YES,Unknown,YES,YES,NA,REPLACED,2013,HOT WATER,YES,YES,NO,YES,YES,8:00AM TO 10:00PM,BASEMENT,YES,0,0,2,8,NO,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M9N,NA,YES,COGIR MANAGEMENT CORPORATION,PRIVATE,NA,4155170,NO,YES,NO,2220  WESTON RD ,YES,YES,1961,YES,FREE,05,DOUBLE PANE,1961,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA
